"(truncated to the fan-out cap)","(truncated to the fan-out cap)"
"(unrenderable revision)","(unrenderable revision)"
"(workflow deleted)","(workflow deleted)"
"-- Please select --","-- Please select --"
"A numeric entity ID is required to run a workflow manually.","A numeric entity ID is required to run a workflow manually."
"A serialized condition tree (same shape as salesrule/catalogrule). Use ""Edit conditions…"" for the slide-out editor, or edit the JSON directly here. Leave blank for ""always run"".","A serialized condition tree (same shape as salesrule/catalogrule). Use ""Edit conditions…"" for the slide-out editor, or edit the JSON directly here. Leave blank for ""always run""."
"A total of %1 workflow(s) have been disabled.","A total of %1 workflow(s) have been disabled."
"A total of %1 workflow(s) have been enabled.","A total of %1 workflow(s) have been enabled."
"A workflow ID is required to run a workflow.","A workflow ID is required to run a workflow."
"Action: %1","Action: %1"
"Actions","Actions"
"Amount","Amount"
"Apply","Apply"
"Archived At","Archived At"
"Are you sure you want to delete the selected workflow(s)?","Are you sure you want to delete the selected workflow(s)?"
"Are you sure you want to delete this workflow?","Are you sure you want to delete this workflow?"
"Author Catalog Actions","Author Catalog Actions"
"Author Customer Actions","Author Customer Actions"
"Author Flow Actions","Author Flow Actions"
"Author Marketing Actions","Author Marketing Actions"
"Author Notify Actions","Author Notify Actions"
"Author Sales Actions","Author Sales Actions"
"Back","Back"
"Back to gallery","Back to gallery"
"batch (%1 items)","batch (%1 items)"
"Cancel","Cancel"
"Cancelled","Cancelled"
"Caused By","Caused By"
"Chain Depth","Chain Depth"
"Change History","Change History"
"Compatible","Compatible"
"Complete","Complete"
"Completed At","Completed At"
"Condition tree (JSON)","Condition tree (JSON)"
"Conditions","Conditions"
"Conditions must be a JSON condition tree.","Conditions must be a JSON condition tree."
"Context (technical details)","Context (technical details)"
"Could not validate the conditions.","Could not validate the conditions."
"Create & Edit Workflows","Create & Edit Workflows"
"Current (v%1):","Current (v%1):"
"Current Step","Current Step"
"Days","Days"
"Definition (edit freely — nothing is saved)","Definition (edit freely — nothing is saved)"
"Definition (JSON)","Definition (JSON)"
"Delete","Delete"
"Delete ""%1""","Delete ""%1"""
"Delete Workflow(s)","Delete Workflow(s)"
"Details","Details"
"Disable","Disable"
"Disabled","Disabled"
"disabled","disabled"
"Dispatch was suppressed (workflow disabled, out of scope, or debounced)","Dispatch was suppressed (workflow disabled, out of scope, or debounced)"
"Dry run","Dry run"
"Dry-run","Dry-run"
"Dry-run (preview — no side effects)","Dry-run (preview — no side effects)"
"Dry-Run Preview","Dry-Run Preview"
"Dry-Run Workflow","Dry-Run Workflow"
"Dry-Run Workflows","Dry-Run Workflows"
"Edge","Edge"
"Edit","Edit"
"Edit conditions…","Edit conditions…"
"Edit the serialized condition tree. Leave blank for ""always run"". The server re-validates the shape.","Edit the serialized condition tree. Leave blank for ""always run"". The server re-validates the shape."
"Edit Workflow","Edit Workflow"
"Edition: %1","Edition: %1"
"Enable","Enable"
"Enable / Disable Workflows","Enable / Disable Workflows"
"Enabled","Enabled"
"Enter an ISO-8601 duration instead","Enter an ISO-8601 duration instead"
"Enter the ID of the entity (e.g. order or customer ID) to run this workflow against:","Enter the ID of the entity (e.g. order or customer ID) to run this workflow against:"
"Enter the record ID manually","Enter the record ID manually"
"Enter the record ID. A searchable picker arrives with the canvas package.","Enter the record ID. A searchable picker arrives with the canvas package."
"Entity","Entity"
"Entity ID","Entity ID"
