"(workflow deleted)","(workflow deleted)"
"Approval Mass-Decide Cap","Approval Mass-Decide Cap"
"Approval needed: %1","Approval needed: %1"
"Approval task not found.","Approval task not found."
"Approval Task Park Notification","Approval Task Park Notification"
"Approval Tasks","Approval Tasks"
"Approval: %1","Approval: %1"
"Approve","Approve"
"Approve Task(s)","Approve Task(s)"
"Approved","Approved"
"Are you sure you want to approve the selected task(s)? Only tasks whose gate allows bulk decisions will be approved; the rest are skipped and reported.","Are you sure you want to approve the selected task(s)? Only tasks whose gate allows bulk decisions will be approved; the rest are skipped and reported."
"Are you sure you want to reject the selected task(s)? Only tasks whose gate allows bulk decisions will be rejected; the rest are skipped and reported.","Are you sure you want to reject the selected task(s)? Only tasks whose gate allows bulk decisions will be rejected; the rest are skipped and reported."
"Assignee Role","Assignee Role"
"Decide Approval Tasks","Decide Approval Tasks"
"Decided By","Decided By"
"Decision","Decision"
"Decision Note","Decision Note"
"Due","Due"
"Due In","Due In"
"Entity","Entity"
"Execution Timeline","Execution Timeline"
"Expired","Expired"
"Finished","Finished"
"ID","ID"
"Maximum approval tasks a single grid mass-decide (Approve/Reject) request may process at once.","Maximum approval tasks a single grid mass-decide (Approve/Reject) request may process at once."
"No step data recorded yet.","No step data recorded yet."
"Note","Note"
"Open","Open"
"Orphaned","Orphaned"
"Reject","Reject"
"Reject Task(s)","Reject Task(s)"
"Rejected","Rejected"
"Something went wrong while recording the decision.","Something went wrong while recording the decision."
"Started","Started"
"Status","Status"
"Step","Step"
"The decision has been recorded.","The decision has been recorded."
"This approval task no longer exists.","This approval task no longer exists."
"This task is no longer open (status: %1).","This task is no longer open (status: %1)."
"Title","Title"
"View","View"
"View Approval Tasks","View Approval Tasks"
"View Entity","View Entity"
"View Workflow","View Workflow"
"Workflow","Workflow"
"Workflow #%1 (deleted)","Workflow #%1 (deleted)"
"You do not have permission to decide this task.","You do not have permission to decide this task."
