"Anonymize Customer (GDPR)","Anonymize Customer (GDPR)"
"Assign Customer Group","Assign Customer Group"
"Birthday Look-Ahead (days)","Birthday Look-Ahead (days)"
"Birthday Month","Birthday Month"
"Customer Address Changed","Customer Address Changed"
"Customer Birthday Upcoming","Customer Birthday Upcoming"
"Default Billing Country","Default Billing Country"
"Default Billing State/Province","Default Billing State/Province"
"Default Billing Postcode","Default Billing Postcode"
"Default Billing City","Default Billing City"
"Default Shipping Country","Default Shipping Country"
"Default Shipping State/Province","Default Shipping State/Province"
"Default Shipping Postcode","Default Shipping Postcode"
"Default Shipping City","Default Shipping City"
"Days Until Birthday","Days Until Birthday"
"Publishes the Customer Birthday Upcoming trigger this many days before each customer's birthday. 0 disables the detector.","Publishes the Customer Birthday Upcoming trigger this many days before each customer's birthday. 0 disables the detector."
"Customer attribute ""%1"" does not exist","Customer attribute ""%1"" does not exist"
"Customer group %1 does not exist","Customer group %1 does not exist"
"Set Customer Attribute","Set Customer Attribute"
"customer.anonymize requires confirm: true","customer.anonymize requires confirm: true"
