"""qty"" is required when ""source_code"" is set","""qty"" is required when ""source_code"" is set"
"Catalog","Catalog"
"Configure at least one of ""qty"" or ""is_in_stock""","Configure at least one of ""qty"" or ""is_in_stock"""
"Invalid qty ""%1""","Invalid qty ""%1"""
"MSI is not installed; omit source_code to use legacy stock","MSI is not installed; omit source_code to use legacy stock"
"Product %1 not found","Product %1 not found"
"Product Back in Stock","Product Back in Stock"
"Publishes the Stock Threshold Crossed trigger when a managed product's quantity drops to or below this value. 0 disables the detector.","Publishes the Stock Threshold Crossed trigger when a managed product's quantity drops to or below this value. 0 disables the detector."
"Set Stock Status/Qty","Set Stock Status/Qty"
"Stock Threshold Crossed","Stock Threshold Crossed"
"Stock Threshold Quantity","Stock Threshold Quantity"
"Stock: In Stock","Stock: In Stock"
"Stock: Quantity","Stock: Quantity"
"Stock: Salable Quantity (MSI)","Stock: Salable Quantity (MSI)"
