"Conditions Combination","Conditions Combination"
"Customer","Customer"
"Customer %1 not found","Customer %1 not found"
"Invalid newsletter action ""%1"" (subscribe|unsubscribe)","Invalid newsletter action ""%1"" (subscribe|unsubscribe)"
"Is Newsletter Subscribed","Is Newsletter Subscribed"
"Linked to Customer Account","Linked to Customer Account"
"Marketing","Marketing"
"Newsletter Status","Newsletter Status"
"Newsletter Subscribe/Unsubscribe","Newsletter Subscribe/Unsubscribe"
"Newsletter Subscriber","Newsletter Subscriber"
"Newsletter Subscription Changed","Newsletter Subscription Changed"
"No","No"
"Not Active","Not Active"
"Status Changed At","Status Changed At"
"Subscribed","Subscribed"
"Subscriber Attribute","Subscriber Attribute"
"Subscriber Email","Subscriber Email"
"Subscription Status","Subscription Status"
"Trigger Data (advanced)","Trigger Data (advanced)"
"Unconfirmed","Unconfirmed"
"Unsubscribed","Unsubscribed"
"Yes","Yes"
