"Add Order Comment","Add Order Comment"
"Cancel Order","Cancel Order"
"Cart price rule %1 (""%2"") does not allow auto-generated coupons","Cart price rule %1 (""%2"") does not allow auto-generated coupons"
"Cart price rule %1 does not allow auto-generated coupons","Cart price rule %1 does not allow auto-generated coupons"
"Cart price rule %1 does not exist","Cart price rule %1 does not exist"
"Change Order Status","Change Order Status"
"Coupon generation returned no codes","Coupon generation returned no codes"
"Create Credit Memo","Create Credit Memo"
"Create Invoice","Create Invoice"
"Create Shipment","Create Shipment"
"Generate Coupon Code","Generate Coupon Code"
"Hold Order","Hold Order"
"Invalid capture mode ""%1"" (online|offline)","Invalid capture mode ""%1"" (online|offline)"
"Marketing","Marketing"
"Order %1 not found","Order %1 not found"
"Sales","Sales"
"Status ""%1"" is not valid for order state ""%2""","Status ""%1"" is not valid for order state ""%2"""
"Status ""%1"" is not valid for order state ""%2"" (allowed: %3)","Status ""%1"" is not valid for order state ""%2"" (allowed: %3)"
"Unexpected order implementation returned by repository","Unexpected order implementation returned by repository"
"Unhold Order","Unhold Order"
